'hPhones'	'hSon'	'aPhones'	'aSon'	'featDist'	'simScore'	'phoneLev'	'freq'
'u w'	[8, 7]	'i b'	[8, 2]	4.25	2.125	2	1
'u w'	[8, 7]	'o d'	[9, 2]	4.5625	2.281	2	1
'u'	[8]	'∅'	[0]	7.25	7.25	1	3
'u'	[8]	'ə'	[9]	0.875	0.875	1	5
'u'	[8]	'f i'	[3, 8]	8.0	4.0	2	1
'u'	[8]	'i ɦ'	[8, 6]	8.0	4.0	2	1
'u'	[8]	'i'	[8]	0.75	0.75	1	1
'u'	[8]	'o'	[9]	0.5	0.5	1	2
'u'	[8]	'w ɔ'	[7, 9]	7.875	3.938	2	1
'u'	[8]	'w o'	[7, 9]	7.75	3.875	2	1
'∅'	[0]	'v'	[4]	7.25	7.25	1	1
'∅'	[0]	'w l o'	[7, 6, 9]	21.75	7.25	3	1
'∅'	[0]	'w'	[7]	7.25	7.25	1	2
'w a'	[7, 9]	'o d e d'	[9, 2, 9, 2]	16.4375	4.109	4	1
'w ɔ'	[7, 9]	'o'	[9]	7.375	3.688	2	1
'w e'	[7, 9]	'o j l ə'	[9, 7, 6, 9]	15.625	3.906	4	1
'w u'	[7, 8]	'∅'	[0]	14.5	7.25	2	1
'x ə ŋ ə'	[3, 9, 5, 9]	'v e l i'	[4, 9, 6, 8]	4.25	1.062	4	1
'y a'	[8, 9]	'∅'	[0]	14.5	7.25	2	1
'y'	[8]	'∅'	[0]	7.25	7.25	1	1
'∅'	[0]	'z'	[4]	7.25	7.25	1	1
'z e'	[4, 9]	't͡s o'	[1, 9]	1.375	0.688	2	1
'z'	[4]	't͡s'	[1]	0.875	0.875	1	1
